"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Economics and Evaluation (Chief Economist)","600169","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","EO","24300","33929","Executive Officer","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","HEO","28000","38595","Policy Adviser","17","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","SEO","38300","46000","Policy Adviser","10.432432432432432","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","Grade 7","48500","60078","Team Leader","43.38618618618618","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","Grade 6","59500","71000","Team Leader","21.001996996996997","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Education, Gender & Equality","600007","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","AO","21493","25433","Admin Support Officer","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","EO","24300","33929","Executive Officer","36.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","HEO","28000","38595","Policy Adviser","78.94444444444444","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","SEO","38300","46000","Policy Adviser","24","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","Grade 7","48500","60078","Team Leader","41.833333333333336","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","Grade 6","59500","71000","Team Leader","19","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Estates, Security & Network","600054","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","AO","21493","25433","Admin Support Officer","10.916666666666668","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","EO","24300","33929","Executive Officer","11.88888888888889","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","HEO","28000","38595","Policy Adviser","195","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","SEO","38300","46000","Policy Adviser","30","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","Grade 7","48500","60078","Team Leader","149.83333333333331","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","Grade 6","59500","71000","Team Leader","67.11666666666667","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","SCS1","71000","117800","Senior Policy Adviser","52","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","AO","21493","25433","Admin Support Officer","141.60525525525523","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","EO","24300","33929","Executive Officer","82.62163663663662","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","HEO","28000","38595","Policy Adviser","84.40097597597597","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","SEO","38300","46000","Policy Adviser","49.871771771771776","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","Grade 7","48500","60078","Team Leader","45.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","Grade 6","59500","71000","Team Leader","23.502702702702702","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","SCS1","71000","117800","Senior Policy Adviser","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","G7 Presidency","600191","HEO","28000","38595","Policy Adviser","<5","Policy Profession","Unknown"
